geoid,geography_name,title,range_min,range_max,estimate,margin_of_error,proration_available_units
0550000US08007,Archuleta County (Unincorporated),VALUE,40000,49999,10,3,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,50000,59999,48,17,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,60000,69999,0,7,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,70000,79999,104,84,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,80000,89999,13,9,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,90000,99999,8,2,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,100000,124999,62,35,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,125000,149999,112,70,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,150000,174999,106,38,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,175000,199999,85,21,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,200000,249999,340,94,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,250000,299999,473,147,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,300000,399999,830,163,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,400000,499999,638,192,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,500000,749999,524,116,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,750000,999999,285,91,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,1000000,1499999,122,75,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,1500000,1999999,56,28,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,2000000,5252000,12,1,0.3194266700793448
0550000US08009,Baca County (Unincorporated),VALUE,0,10000,0,46,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,10000,14999,13,28,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,15000,19999,19,43,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,20000,24999,11,38,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,25000,29999,6,32,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,30000,34999,8,31,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,35000,39999,1,65,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,40000,49999,1,45,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,50000,59999,10,41,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,60000,69999,3,56,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,70000,79999,14,42,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,80000,89999,13,32,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,90000,99999,0,54,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,100000,124999,40,56,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,125000,149999,26,55,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,150000,174999,45,38,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,175000,199999,2,65,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,200000,249999,58,55,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,250000,299999,28,39,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,300000,399999,94,27,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,400000,499999,6,59,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,500000,749999,32,51,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,750000,999999,0,65,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,1000000,1499999,23,61,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,1500000,1999999,0,65,0.2336244541484716
0550000US08009,Baca County (Unincorporated),VALUE,2000000,5252000,5,62,0.2336244541484716
0550000US08011,Bent County (Unincorporated),VALUE,0,10000,18,7,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,10000,14999,0,0,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,15000,19999,12,1,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,20000,24999,0,0,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,25000,29999,9,2,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,30000,34999,18,6,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,35000,39999,0,0,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,40000,49999,4,1,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,50000,59999,40,9,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,60000,69999,18,8,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,70000,79999,20,14,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,80000,89999,68,34,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,90000,99999,13,2,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,100000,124999,69,21,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,125000,149999,12,2,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,150000,174999,15,5,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,175000,199999,20,19,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,200000,249999,99,37,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,250000,299999,26,3,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,300000,399999,35,13,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,400000,499999,22,28,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,500000,749999,7,5,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,750000,999999,0,5,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,1000000,1499999,0,0,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,1500000,1999999,0,0,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,2000000,5252000,0,5,0.18857142857142858
0550000US08013,Boulder County (Unincorporated),VALUE,0,10000,151,159,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,10000,14999,12,152,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,15000,19999,41,144,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,20000,24999,23,169,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,25000,29999,0,160,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,30000,34999,25,169,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,35000,39999,6,203,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,40000,49999,92,168,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,50000,59999,44,153,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,60000,69999,20,177,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,70000,79999,5,166,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,80000,89999,71,190,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,90000,99999,0,140,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,100000,124999,48,188,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,125000,149999,56,186,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,150000,174999,87,166,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,175000,199999,48,172,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,200000,249999,339,297,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,250000,299999,152,415,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,300000,399999,776,791,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,400000,499999,1412,965,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,500000,749999,4527,1285,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,750000,999999,3410,761,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,1000000,1499999,2051,458,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,1500000,1999999,1002,78,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,2000000,5252000,790,273,0.2161574927574401
0550000US08015,Chaffee County (Unincorporated),VALUE,0,10000,40,11,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,10000,14999,0,26,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,15000,19999,0,24,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,20000,24999,4,36,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,25000,29999,0,26,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,30000,34999,83,53,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,35000,39999,6,35,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,40000,49999,7,22,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,50000,59999,0,24,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,60000,69999,0,24,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,70000,79999,0,24,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,80000,89999,0,31,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,90000,99999,18,18,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,100000,124999,0,26,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,125000,149999,26,6,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,150000,174999,133,10,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,175000,199999,25,43,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,200000,249999,106,3,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,250000,299999,177,7,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,300000,399999,627,159,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,400000,499999,703,61,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,500000,749999,900,59,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,750000,999999,436,70,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,1000000,1499999,142,25,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,1500000,1999999,82,18,0.34670810963549026
0550000US08015,Chaffee County (Unincorporated),VALUE,2000000,5252000,24,8,0.34670810963549026
0550000US08017,Cheyenne County (Unincorporated),VALUE,0,10000,2,13,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,10000,14999,8,10,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,15000,19999,0,13,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,20000,24999,2,13,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,25000,29999,3,2,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,30000,34999,3,12,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,35000,39999,0,13,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,40000,49999,0,3,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,50000,59999,7,11,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,60000,69999,4,12,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,70000,79999,8,3,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,80000,89999,4,5,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,90000,99999,2,13,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,100000,124999,14,3,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,125000,149999,9,3,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,150000,174999,22,6,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,175000,199999,3,12,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,200000,249999,16,2,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,250000,299999,13,7,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,300000,399999,30,1,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,400000,499999,11,11,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,500000,749999,8,11,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,750000,999999,0,13,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,1000000,1499999,7,18,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,1500000,1999999,0,13,0.1404494382022472
0550000US08017,Cheyenne County (Unincorporated),VALUE,2000000,5252000,2,23,0.1404494382022472
0550000US08019,Clear Creek County (Unincorporated),VALUE,0,10000,0,47,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,10000,14999,0,52,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,15000,19999,0,52,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,20000,24999,9,41,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,25000,29999,49,4,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,30000,34999,6,35,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,35000,39999,9,51,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,40000,49999,0,52,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,50000,59999,43,0,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,60000,69999,42,6,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,70000,79999,7,54,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,80000,89999,0,52,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,90000,99999,0,52,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,100000,124999,0,51,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,125000,149999,0,52,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,150000,174999,0,39,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,175000,199999,65,22,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,200000,249999,31,49,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,250000,299999,61,31,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,300000,399999,454,66,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,400000,499999,223,4,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,500000,749999,755,105,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,750000,999999,359,108,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,1000000,1499999,284,101,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,1500000,1999999,0,52,0.2585858585858586
0550000US08019,Clear Creek County (Unincorporated),VALUE,2000000,5252000,78,13,0.2585858585858586
0550000US08021,Conejos County (Unincorporated),VALUE,0,10000,14,24,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,10000,14999,28,30,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,15000,19999,10,21,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,20000,24999,0,43,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,25000,29999,0,52,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,30000,34999,35,12,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,35000,39999,11,21,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,40000,49999,36,31,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,50000,59999,24,35,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,60000,69999,42,16,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,70000,79999,41,49,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,80000,89999,57,19,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,90000,99999,28,39,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,100000,124999,108,44,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,125000,149999,63,31,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,150000,174999,271,30,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,175000,199999,41,19,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,200000,249999,108,9,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,250000,299999,53,21,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,300000,399999,204,31,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,400000,499999,31,36,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,500000,749999,16,45,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,750000,999999,0,47,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,1000000,1499999,10,54,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,1500000,1999999,0,47,0.20796100731112915
0550000US08021,Conejos County (Unincorporated),VALUE,2000000,5252000,0,47,0.20796100731112915
0550000US08023,Costilla County (Unincorporated),VALUE,0,10000,47,22,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,10000,14999,21,6,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,15000,19999,5,18,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,20000,24999,4,19,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,25000,29999,4,19,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,30000,34999,42,10,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,35000,39999,0,13,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,40000,49999,13,7,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,50000,59999,37,22,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,60000,69999,12,7,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,70000,79999,41,10,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,80000,89999,54,0,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,90000,99999,7,1,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,100000,124999,96,25,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,125000,149999,29,13,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,150000,174999,109,30,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,175000,199999,60,13,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,200000,249999,134,33,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,250000,299999,54,22,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,300000,399999,33,10,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,400000,499999,24,7,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,500000,749999,7,5,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,750000,999999,14,9,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,1000000,1499999,0,13,0.1652892561983471
0550000US08023,Costilla County (Unincorporated),VALUE,1500000,1999999,0,13,0.1652892561983471
